,Unnamed: 0,tweets_id,text,author_id,username,user_created_time,user_location,user_name,user_description,geo_place_id,geo_country_code,geo_place_type,geo_full_name,geo_bbox,geo_country,geo_name,date,text_clean,classification_labels,cluster_labels
0,0,812836015396229121,Jill Stein asks Loretta Lynch to probe US #election system https://t.co/QJH5ZsmiCC via @DCExaminer,1865621094,911NoPlaner,2013-09-15T01:09:19.000Z,Lower Manhattan,9/11 No Planer 🥶,"for educational purposes!

TWEETS & FOLLOWS ARE !NOT ENDORSEMENTS!!!

all networks aired fake videos on 9/11!!!

It's just a set up!",01a9a39529b27f36,US,city,"Manhattan, NY","[-74.026675, 40.683935, -73.910408, 40.877483]",Etats-Unis,Manhattan,2016-12-25,jill stein ask loretta lynch probe us elect system via,1,17
1,1,812835934983036929,3 kids received Trump t-shirts from me for Christmas...out here doing my duty and spreading the message. #MAGA,494355557,bryan_mcknight,2012-02-16T20:23:05.000Z,Texas,Bryan McKnight,"Tweets will offend — Lover of Texas, America, and country music.",e0060cda70f5f341,US,admin,"Texas, USA","[-106.645646, 25.837092, -93.508131, 36.500695]",Etats-Unis,Texas,2016-12-25,3 kid receiv trump tshirt christmasout duti spread messag maga,1,3
2,3,812835899461566466,@ATLSportsNate Was not thinking election but did notice we seem to suck on odd years but are good on even years. don't forget 1998 and 1980,279654899,BrianOHern,2011-04-09T18:36:23.000Z,"Atlanta, GA",Brian O'Hern,"Love Sports! Falcons,Braves,Gladiators and Motor Sports. Miss my Thrashers too.",7142eb97ae21e839,US,admin,"Georgia, USA","[-85.605166, 30.355644, -80.742567, 35.000771]",Etats-Unis,Georgia,2016-12-25,think elect notic seem suck odd year good even year forget 1998 1980,2,3
3,4,812835893186822144,"@TEN_GOP Karma's a bitch, and she's a nasty one at that! https://t.co/zrp6WqutLy #TrumpFoundation https://t.co/PhJNGSf5om",25346069,crewoldt,2009-03-19T17:40:35.000Z,DFW USA,Christian☀️,"#veteran fighting for progress, public education, equality, integrity, human rights and justice for all😡 Blocked by Chachi🙌",a612c69b44b2e5da,US,admin,"Arizona, USA","[-114.818269, 31.3322463, -109.0451527, 37.004261]",Etats-Unis,Arizona,2016-12-25,karma bitch nasti one,0,46
4,5,812835790178975744,Trump won all except Boston Chicago Los Angeles&amp;NYC where welfare recipients &amp; Illegals went 9-1 for more freebies https://t.co/TKOoGUoIYS,525504974,acu1876,2012-03-15T16:09:53.000Z,In a basket of DEPORABLES,A DEPLORABLE PATRIOT,"Author, Historian and A Renaisance Man",01d5f73e5608124b,US,city,"Kirkland, NC","[-77.7995409, 34.275152, -77.731864, 34.324254]",Etats-Unis,Kirkland,2016-12-25,trump except boston chicago lo angelesampnyc welfar recipi amp illeg went 91 freebi,0,29
5,6,812835716761878528,I'm going to miss @FLOTUS ... Melania Trump doesn't even know what it's like to be a part of USA systems and life...,22083526,kimberlylouvin,2009-02-27T00:10:27.000Z,"Portland, OR",Kimberly Louvin,✨🔥💙🧩🧙🏼‍♀️🌊🌬⛓✨ 😇🙏🏻 Nashville ➡️ PNW 🏔🧘🏻‍♀️ Yin Yoga Teacher / Social Worker Granddaughter of #louvinbrothers #exvangelical,db6c24fcc9e59ba4,US,city,"Hendersonville, TN","[-86.674887, 36.248263, -86.4953126, 36.366587]",Etats-Unis,Hendersonville,2016-12-25,go miss melania trump even know like part usa system life,0,34
6,7,812835708524171264,"Just FYI, he stole the idea from Cruz
https://t.co/jrSwwwOYWF https://t.co/3X4jJvIkWY",413470255,TimothyODonnel2,2011-11-15T22:46:12.000Z,#catholic Commonwealth of VA,Tim O'Donnell,"married Army Veteran, I’m sad to say Tim passed away on Nov 25 . I’m his wife . we would have been married 24 years January 2nd",fb7c1db180c09183,US,city,"Harrisonburg, VA","[-78.918345, 38.387443, -78.824223, 38.489169]",Etats-Unis,Harrisonburg,2016-12-25,fyi stole idea cruz,2,17
7,9,812835549308395521,Watching #itsawonderfullife is much different this year. I can't help but see Trump in Mr. Potter. #ResistTrump   https://t.co/Nlkis0jofo,58212435,JeffFromNH,2009-07-19T14:57:55.000Z,"Rhode Island, USA",Just Jeff 🇺🇸🇺🇦,"No one starts a war over renewable energy, and Culture Wars are for losers. #StandWithUkraine #CultureWars",7b93be1d864cedbb,US,city,"Providence, RI","[-71.4741855, 41.772455, -71.369479, 41.861713]",Etats-Unis,Providence,2016-12-25,watch much differ year help see trump mr potter resisttrump,2,59
8,10,812835486729441285,@areyou0 Coming Trump debacle is so worrisome because Trump seemingly oblivious to real world. https://t.co/3IWdbS1MzY,3072653847,Hester216P,2015-03-05T16:06:45.000Z,"Illinois, USA",paul hester,Retired LPN. Bakery Manager part time. Traveler.,3227bcceb76b6a37,US,city,"Naperville, IL","[-88.2595981, 41.6655839, -88.063045, 41.8314084]",Etats-Unis,Naperville,2016-12-25,come trump debacl worrisom trump seemingli oblivi real world,2,18
9,11,812835456543031296,"To be fair, my Step Father was the one who brought up Trump first.",589431637,GianmarcoSoresi,2012-05-24T21:14:37.000Z,"New York, NY",gianmarco,Stand-up comic/child of divorce,01fbe706f872cb32,US,city,"Washington, DC","[-77.119401, 38.801826, -76.909396, 38.9953797]",Etats-Unis,Washington,2016-12-25,fair step father one brought trump first,2,30
