,Unnamed: 0,tweets_id,text,author_id,username,user_created_time,user_location,user_name,user_description,geo_place_id,geo_country_code,geo_place_type,geo_full_name,geo_bbox,geo_country,geo_name,date,text_clean,classification_labels,cluster_labels
0,0,1339390457760022529,"So the smoking gun is out. The Trump Admin. actively pushed for people to get infected with COVID. The emails from a top Trump Admin. actually state ""We want them infected."". Do they not realize the tragedy they have unleashed? They must be held accountable!",16330264,albireo_50,2008-09-17T15:17:06.000Z,"Los Angeles, CA",Coldy Squares 🥶🧊,"Alt acct of @feild99. Biochem PhD, astronomy nerd, married. Views may offend you and that's okay, it’s just my opinion. #NoMAGA",00f78d03029f5570,US,city,"Santa Rosa Valley, CA","[-118.931619, 34.227495, -118.865915, 34.260507]",Etats-Unis,Santa Rosa Valley,2020-12-17,smoke gun trump admin activ push peopl get infect covid email top trump admin actual state want infect realiz tragedi unleash must held account,0,5
1,2,1339390427665862656,"@AmyKremer Oh honey, it’s waaayyy over...Stick a fork in trump. He’s done!",701965743131226112,desperado_59,2016-02-23T03:04:09.000Z,"Eagle, ID","it may be raining, but there's a rainbow above you",#BlueGirl in a hideous red state #FutureisFemale 👩🏼‍🦳👩🏼‍🎓#TheResistance 🌊🌊🌊🌊#BroncosCountry 💙🧡💙🧡 #Idaho 🏕🏔🥔 #BroncoNation💙🧡💙🧡,ee4c9750e0c1f461,US,city,"Eagle, ID","[-116.416254, 43.662859, -116.306385, 43.720834]",Etats-Unis,Eagle,2020-12-17,oh honey waaayyy overstick fork trump he done,0,36
2,3,1339390422058115072,P L E A S E that is nicer than anything Donald Trump has ever said please stop trying to act morally superior. 😭 https://t.co/sIigcYWaVx,16894200,Yoshirox10,2008-10-21T21:19:55.000Z,"West Hollywood, California",.,Tim! 27! Work on reality competition shows. Definitely gay. Definitely verrrry far left. Grim Reaper of pop music careers. Ask me about my aphantasia. He/him,3b77caf94bfc81fe,US,city,"Los Angeles, CA","[-118.668404, 33.704538, -118.155409, 34.337041]",Etats-Unis,Los Angeles,2020-12-17,p l e e nicer anyth donald trump ever said pleas stop tri act moral superior,1,1
3,4,1339390402541932545,"The worst part about @jomalleydillon calling Republicans “f*ckers” is that REPUBLICANS LITERALLY ATTEMPTED TO STEAL AN ELECTION AND ARE ACTIVELY AIDING AND ABETTING A DEADLY VIRUS. 

Fuckers indeed.",231938447,JeremyR1992,2010-12-29T21:51:48.000Z,"San Francisco via Queens, NY",Jeremy Rosenberg,"Abogado de inmigración 🗽, occasional political organizer 🗳, Queens kid 🌎, gay 🌈, @cunylaw alum ⚖️...views = plentiful + my own + NOT legal advice 🤗",5a110d312052166f,US,city,"San Francisco, CA","[-122.514926, 37.708075, -122.357031, 37.833238]",Etats-Unis,San Francisco,2020-12-17,worst part call republican fcker republican liter attempt steal elect activ aid abet deadli viru fucker inde,0,41
4,5,1339390371223236609,@joshtpm Can Biden remove him from the board?,1400921916,shaltsch,2013-05-03T23:08:34.000Z,"Illinois, USA",Packergirl67,"Marketer, writer, hate hypocrisy, love big cities, theatre, rapid-fire conversations",c567a00616152df6,US,city,"Rolling Meadows, IL","[-88.069314, 42.0080756, -87.987432, 42.104369]",Etats-Unis,Rolling Meadows,2020-12-17,biden remov board,0,10
5,6,1339390331620626433,"Whether or not you think the election was victim to voter fraud, this election was rigged by the media. Stolen by selective and biased reporting as well as constant hate spewed at one candidate. Of course people will vote the way every source of media they consume tells them.",1717578733,kevinthephares,2013-09-01T03:19:46.000Z,"Illinois, USA",Kev,"Conservative Activist promoting freedom of speech, fiscal responsibility, individual liberty, and limited government.",3227bcceb76b6a37,US,city,"Naperville, IL","[-88.2595981, 41.6655839, -88.063045, 41.8314084]",Etats-Unis,Naperville,2020-12-17,whether think elect victim voter fraud elect rig media stolen select bias report well constant hate spew one candid cours peopl vote way everi sourc media consum tell,0,45
6,7,1339390300263989248,I think so too. I was astonished SCOTUS would not hear the case with the overwhelming evidence of election fraud presented to it. Even Trump appointed Justices voted not to hear the case. https://t.co/jgBxOpWfgt,1220002566,RamboGage,2013-02-25T23:33:35.000Z,USA,John “Rambo” Gage⚔️,Ret. Military Liaison @ Nat'l Guard. Constitutional conservative. MS Econ. 2A supporter. Historian at heart. South Jersey raised.,dfae4bdb9055f07e,US,city,"Okemos, MI","[-84.462435, 42.6780392, -84.3630832, 42.744463]",Etats-Unis,Okemos,2020-12-17,think astonish scotu would hear case overwhelm evid elect fraud present even trump appoint justic vote hear case,2,30
7,8,1339390278852096001,This is a sweet foretaste of election victories to come in2022 https://t.co/4CansfuQ8n,159623995,WesLoegering,2010-06-25T22:25:53.000Z,Dallas Texas; Eden Utah,Weston Loegering🇺🇸🎿🎻💼 #blacklivesmatter,"husband, father, brother, uncle, attorney, son of WWII POW and Purple Heart,violinist, Powder Mountain ski patrol, bridge builder, gardener, history student",18810aa5b43e76c7,US,city,"Dallas, TX","[-96.977527, 32.620678, -96.54598, 33.019039]",Etats-Unis,Dallas,2020-12-17,sweet foretast elect victori come in2022,1,29
8,10,1339390264012648452,"@ScottFishman Money laundering, election interference, fraud, spying, destruction of America, true racial discrimination etc... please add on!",783506734887399424,bso62,2016-10-05T03:18:57.000Z,"Illinois, USA",Beth 🇺🇸 🙏💕🍊🍊,Livelovefreedom!,d50345354159b16c,US,city,"Lake Forest, IL","[-87.942895, 42.200288, -87.8071953, 42.280041]",Etats-Unis,Lake Forest,2020-12-17,money launder elect interfer fraud spi destruct america true racial etc pleas add,2,6
9,11,1339390236061802496,"@NewYorkStateAG Lock him up
Lock him up
Lock him up.
By the way that Russian hack
in the Treasury nobody
is talking about.
Came a week after 
Christopher Krebs was
fired.
One must wonder
It is so convenient
for the Trump Administration
it happens when 
nobody is watching anymore. https://t.co/LltyhVgRJ1",1270858780067143683,KnotMarshall,2020-06-10T23:22:20.000Z,"Fisher Island, FL",Spartacus X,"PI 109. The problems are solved, not by giving new information, but by arranging what we have always known.",0fc39ced9c54c000,US,poi,NYSE Freedom Hall,"[-74.01088911561862, 40.706818050271096, -74.01088911561862, 40.706818050271096]",Etats-Unis,NYSE Freedom Hall,2020-12-17,lock lock lock way russian hack treasuri nobodi talk came week christoph kreb fire one must wonder conveni trump happen nobodi watch anymor,0,21
10,13,1339390232320483328,Fake mail in votes.    How come millions of late ballots with Biden only and no down ballot votes.   Biden elected while Repubs took more legislatures and Congress seats . A Pres has coat tails.   Reverse coattails?   Vids prove the election was a joke. https://t.co/WJy3UfR9Rg,979170769673576448,Informed49,2018-03-29T01:37:58.000Z,"Tulsa, OK",AmericaFirstSpaceForce,Capitalist freedom ! Trump warrior! Blue Lives Matter . 🇺🇸judge by character not skin color MLK .Dont let Dems divide us ! BLM is Marxist,cb74aaf709812e0f,US,city,"Tulsa, OK","[-96.0656278, 35.968624, -95.761656, 36.250159]",Etats-Unis,Tulsa,2020-12-17,fake mail vote come million late ballot biden ballot vote biden elect repub took legislatur congress seat pre coat tail revers coattail vid prove elect joke,0,15
11,14,1339390190079549441,@chuck_adams @AndreQuirinos @Chris_H_Politic @axios You posted this which insinuated that you agree that Biden is somehow magically progressive: https://t.co/Sh2p6zso6U,90560845,green917,2009-11-17T04:18:27.000Z,"minneapolis, mn",Chris Greenfield,"drinkologist, computer geek (ex it slave), against vaccine mandates/passports, special needs dad",8e9665cec9370f0f,US,city,"Minneapolis, MN","[-93.329515, 44.889964, -93.194578, 45.051257]",Etats-Unis,Minneapolis,2020-12-17,post insinu agre biden somehow magic progress,1,2
12,15,1339390187189637120,"Congratulations to President Trump and HM King Mohammed VI for this bold and historic achievement.  As the first nation to recognize the Independence of the US, Morocco continues to be one of our closest and longest allies. https://t.co/ABDL772zrE",23136027,SeanReyesUT,2009-03-06T23:30:47.000Z,Salt Lake City,Sean Reyes,Family man. Republican. Utah Attorney General. RT is not an endorsement. https://t.co/YeA95GWHIE,bd7c511e9f8bc5da,US,city,"Salt Lake City, UT","[-112.0383105, 40.6998952, -111.795741, 40.8317151]",Etats-Unis,Salt Lake City,2020-12-17,presid trump hm king moham vi bold histor achiev first nation recogn independ us morocco continu one closest longest alli,2,31
13,17,1339390109368639488,Get your crap together Kelly if you want the Trump voters https://t.co/Y06qC2lsSv,1166868418450153472,LarryCotten8,2019-08-29T00:21:44.000Z,"Van Buren, AR",Larry Cotten,"Proud American and single lover of the American Way of Life and the opportunities of America. Work hard, time to Play. Be Happy - Enjoy Life!!!",e8ad2641c1cb666c,US,admin,"Arkansas, USA","[-94.61771, 33.004106, -89.644838, 36.499767]",Etats-Unis,Arkansas,2020-12-17,get crap togeth kelli want trump voter,1,30
14,18,1339390108156350468,"@Kevswatching Don’t like second hand quotes. I follow Trump to read what obnoxious, foul comments he’sbmade and whose arms he’s twisting.  If you read my sarcastic, rude responses it’s obvious.  Hope you follow. Your choice not mine.",24336436,aware714,2009-03-14T05:36:43.000Z,"Irvine, CA",Pama 🌽 ll,"Passionate Woman ❤️ family. Leave this earth having had positive influence. Never give up , courage, curiosity & hope w/Grace PEACE.🌍🙏#RESIST Stop the madness",02215ae29a77567c,US,city,"Tustin, CA","[-117.845301, 33.6941797, -117.758969, 33.773387]",Etats-Unis,Tustin,2020-12-17,dont like second hand quot follow trump read obnoxi foul comment hesbmad whose arm he twist read sarcast rude respons obviou hope follow choic mine,2,56
15,20,1339390090603278337,Trump got to ban this app before he leave office lmao https://t.co/Fo3Ubz9kCQ,313232190,mschelseadiane,2011-06-08T10:26:04.000Z,NEW YORK,CHELSEA DIANE,Actress - Instagram: @chelseadiane,011add077f4d2da3,US,city,"Brooklyn, NY","[-74.041878, 40.570842, -73.855673, 40.739434]",Etats-Unis,Brooklyn,2020-12-17,trump got ban app leav offic lmao,0,39
16,21,1339389989663240193,A Kayne Henry 3-pointer is so automatic Joe Biden is about it outlaw it. https://t.co/e6J36TWIv4,228179535,Barnabus93,2010-12-18T23:47:45.000Z,"Eastaboga, AL",Barnabas Collins,Graduate from Jax State • Webmaster & Director of Baby Operations for @JSUBoomtown,d5dbaf62e7106dc4,US,city,"Jacksonville, AL","[-85.800502, 33.752607, -85.724207, 33.840282]",Etats-Unis,Jacksonville,2020-12-17,kayn henri 3pointer automat joe biden outlaw,1,7
17,23,1339389964967170048,"@Newsweek President Trump’s attorney general didn’t disclose the investigation.  That makes it difficult for the media to report it.  But now it’s news, and should be fully reported by all national news organizations.  But if the FBI is investigating, no special prosecutor is needed.",940744961686999047,MikeCrowder19,2017-12-13T00:47:31.000Z,"Murfreesboro, TN",Mike Crowder,27-year retired veteran broadcast journalist covering local and state government and politics and participating in live high school football broadcasts.,7f7d58e5229c6b6c,US,admin,"Tennessee, USA","[-90.310298, 34.982924, -81.646901, 36.678119]",Etats-Unis,Tennessee,2020-12-17,presid trump attorney gener didnt disclos investig make difficult media report news fulli report nation news organ fbi investig special prosecutor need,0,23
18,24,1339389932658446338,"A Kayne Henry 3-pointer is so automatic Joe Biden is about it outlaw it. 

'Cocks by 22",228179535,Barnabus93,2010-12-18T23:47:45.000Z,"Eastaboga, AL",Barnabas Collins,Graduate from Jax State • Webmaster & Director of Baby Operations for @JSUBoomtown,d5dbaf62e7106dc4,US,city,"Jacksonville, AL","[-85.800502, 33.752607, -85.724207, 33.840282]",Etats-Unis,Jacksonville,2020-12-17,kayn henri 3pointer automat joe biden outlaw cock 22,2,7
19,25,1339389904502054916,@malcolmkenyatta My nephew died on Thanksgiving weekend of Covid. I hold Trump responsible.,833833591914295296,JocelynChampag7,2017-02-21T00:19:55.000Z,"Pennsylvania, USA","Jocelyn Champagne, BS, MEd.",At some point there is no excuse. Either you want to do everything to make it happen or you don’t.,d180df6c736539e4,US,city,"Radnor Township, PA","[-75.414963, 39.990341, -75.320698, 40.066378]",Etats-Unis,Radnor Township,2020-12-17,nephew die thanksgiv weekend covid hold trump respons,0,40
20,26,1339389884440539137,@KhiveBidenBro Bernie &amp; his cult made my life and the lives of millions of Americans a damn lot harder by helping elect Trump. He sure didn't help in 2020 either when he went to Florida and praised Fidel Castro.,812344585,ritamary6,2012-09-09T04:32:09.000Z,Encinitas CA,ritamary,"Proud mom, grandma, boomer centrist establishment neoliberal Democrat, atheist, cat lady. #StillWithHer
MA, US History Chicago State University, 1976",1f6b47c3f3352385,US,city,"Encinitas, CA","[-117.312091, 32.999469, -117.195721, 33.090549]",Etats-Unis,Encinitas,2020-12-17,berni amp cult made life live million american damn lot harder help elect trump sure help 2020 either went florida prais fidel castro,2,53
21,27,1339389875825635329,"I simply cant understand that the US has lost daily approximately the amt of casualties on 9/11 for what will probably 8-12 weeks. Vast majority unnecessary,  no one accountable? Why dont we begin with trump who on tape proves refusal to warn and protect its citizens X 3-4 months",23348171,BUMO33157,2009-03-08T20:12:15.000Z,NY,B. MORSE,"Disabled RN Prog. Dem.that VOTES. Will FB. If you like my comment RT please, I'LL RT Tweet liked. I'll follow all who RT my tweets/comments #resist,🌊BLUE WAVE",94965b2c45386f87,US,admin,"New York, USA","[-79.76259, 40.477383, -71.777492, 45.015851]",Etats-Unis,New York,2020-12-17,simpli cant understand us lost daili approxim amt casualti 911 probabl 812 week vast major unnecessari one account dont begin trump tape prove refus warn protect citizen x 34 month,0,54
22,28,1339389875070652418,"@BlueSt0rmRising No matter. Jill will Be Better, has great experience as second lady &amp; has been to the WH. She led initiatives supporting military families for years. She doesn’t need an invitation from Melania, but it’s pathetic the Trump’s have no grace, honor or dignity for the WH transition.",318071719,bmorejean,2011-06-15T22:42:44.000Z,MD & BSWV,"Jean, PhD Junkin’ Therapy",Retired from corp life. Vintage junk. I rage tweet to forget about inflammation. #Resist #BidenHarris #RBGRevolution #Translivesmatter #BLM,2d83c71ce16cd187,US,admin,"West Virginia, USA","[-82.644739, 37.201483, -77.7189303, 40.638802]",Etats-Unis,West Virginia,2020-12-17,matter jill better great experi second ladi amp wh led initi support militari famili year doesnt need invit melania pathet trump grace honor digniti wh transit,2,32
23,30,1339389846108958721,Rewatching Parks and Rec - forgot about all the funny scenes with the recurring gag about Leslie’s crush on Joe Biden,6791442,kurtluidhardt,2007-06-13T14:38:01.000Z,"Indianapolis, IN",Kurt Luidhardt,"Co-Founder of The Prosper Group, Political Strategist, Investor. Faith, Family, Colts.",008f15ef5cfd041a,US,city,"Greenwood, IN","[-86.25064, 39.5293583, -86.040001, 39.636719]",Etats-Unis,Greenwood,2020-12-17,rewatch park rec forgot funni scene recur gag lesli crush joe biden,2,7
24,33,1339389823057072131,"I have one question.. who is responsible for telling trump that he has to vacate the White House in enough time so that they can fumigate the premises. Is he really allowed to  stay there until January 20th? 

Can 1 of y’all answer me please and thank you!",470419495,cctrini,2012-01-21T18:56:52.000Z,living my life like its golden,THANK YOU GOD!! 🙏🏽🏠🙏🏽It’s da RealRedd!,I’m retired....from bullshet! I love laughter! I wear my mask! I take my vitamins! I eat drink n live very well! No pork on my fork! I’m loyal to my family!,01a9a39529b27f36,US,city,"Manhattan, NY","[-74.026675, 40.683935, -73.910408, 40.877483]",Etats-Unis,Manhattan,2020-12-17,one question respons tell trump vacat white hous enough time fumig premis realli allow stay januari 20th 1 yall answer pleas thank,0,47
25,34,1339389748893331456,"This election has increased my Democrat pride, a lot! I mean, according to Trump and his MAGA cult, we Democrats are RIDICULOUSLY SMART! We stole the election, but left NO PROOF due to our intelligence. 😂🤣😂🤣 #35days https://t.co/zSYrHqW6Vc",417354987,Randa_Slater,2011-11-20T20:45:53.000Z,"Fredericksburg, VA",Randa Slater 🇺🇦🪖💛🌻💙,"Even a fool is thought wise if he keeps silent, and discerning if he holds his tongue. Proverbs 17:28",5635c19c2b5078d1,US,admin,"Virginie, USA","[-83.67529, 36.540739, -75.16644, 39.466012]",Etats-Unis,Virginie,2020-12-17,elect increas democrat pride lot mean accord trump maga cult democrat ridicul smart stole elect left proof due intellig 35day,2,2
26,35,1339389737061138432,@IvankaTrump President Joe Biden will reinstate the regulations your dim wit dad is removing.,1922754062,luckiiyu7,2013-10-01T08:32:46.000Z,Portland Oregon,Alicia Mendoza 💙🇺🇦,"🇺🇦🌻I Love Boxing 🥊 love my 3 sons, I’ve lived in many cities born and raised in Portland, Oregon. #resist 🌊⭐️✌🏽#BidenHarris 💙☮️🌊 I stand with 🇺🇦 No DM",c2c88ba58010961f,US,city,"West Slope, OR","[-122.791544, 45.4862307, -122.743739, 45.507912]",Etats-Unis,West Slope,2020-12-17,presid joe biden reinstat regul dim wit dad remov,0,7
